id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Dreams,Volt Surge,electronic,energetic,0.88,138,0.79,0.85,0.12
12,Street Poetry,Urban Echo,hip-hop,confident,0.72,104,0.68,0.77,0.21
13,Moonlight Sonata,Symphony Strings,classical,peaceful,0.25,80,0.62,0.38,0.94
14,Fading Light,Dusty Roads,indie rock,melancholic,0.58,96,0.42,0.64,0.52
15,Velvet Nights,Smooth Soul,soul,romantic,0.61,98,0.80,0.69,0.48
16,Morning Mist,Acoustic Wanderer,folk,nostalgic,0.32,74,0.67,0.45,0.88
17,Sunshine Reggae,Island Vibes,reggae,uplifting,0.55,106,0.78,0.71,0.63
18,Thunder,Metal Storm,metal,aggressive,0.94,155,0.35,0.72,0.08
